CÓD. INTERNO,PRODUTO,CÓD. DE BARRAS,NCM,PRODUTO,UTL,FYEL,TAMANHO,EMBALAGEM,PESO COM EMBALAGEM gm,CUSTO,VENDA SHOPEE LOJA UTL,VALOR QUE SOBRA APÓS COMISSÃO E TAXAS SHOPEE – IMPOSTO,VALOR LUCRO – IMPOSTO 6%,IMPOSTO,MARGEM EM %,FERNANDO PET MERCADO LIVRE
COLEIRA DE NYLON COM FORRO DE EVA PARA CÃES,,,,,,,,,,,,,,,,
CÓD. 0000,,7897175020000,5206.32.00,COLEIRA NYLON 15MM EVA Nº0 COM PLACA,,,0,UNITÁRIO,20gm,R$ 2.30,R$ 15.90,R$ 7.77,R$ 5.47,R$ 0.95,238%,R$ 19.08
CÓD. 0001,,7897175010001,5206.32.00,COLEIRA NYLON 15MM EVA Nº1 COM PLACA,,,1,UNITÁRIO,21gm,R$ 2.32,R$ 15.90,R$ 7.77,R$ 5.45,R$ 0.95,235%,R$ 19.08
CÓD. 0002,,7897175000002,5206.32.00,COLEIRA NYLON 20MM EVA Nº2 COM PLACA,,,2,UNITÁRIO,32gm,R$ 2.88,R$ 17.90,R$ 9.25,R$ 6.37,R$ 1.07,221%,R$ 21.48
CÓD. 0003,,7897175090003,5206.32.00,COLEIRA NYLON 20MM EVA Nº3 COM PLACA,,,3,UNITÁRIO,33gm,R$ 2.93,R$ 19.50,R$ 10.43,R$ 7.50,R$ 1.17,256%,R$ 23.40
CÓD. 0004,,7897175080004,5206.32.00,COLEIRA NYLON 20MM EVA Nº4 COM PLACA,,,4,UNITÁRIO,34gm,R$ 2.96,R$ 19.90,R$ 10.73,R$ 7.77,R$ 1.19,262%,R$ 23.88
-4,,,,,,,,,,,,,,,,
CÓD. 0005,,7897175070005,5206.32.00,COLEIRA NYLON 25MM C/EVA Nº5,,,5,UNITÁRIO,47gm,R$ 3.18,R$ 22.90,R$ 12.95,R$ 9.77,R$ 1.37,307%,R$ 27.48
CÓD. 0006,,7897175060006,5206.32.00,COLEIRA NYLON 25MM C/EVA Nº6,,,6,UNITÁRIO,50gm,R$ 3.25,R$ 23.90,R$ 13.69,R$ 10.44,R$ 1.43,321%,R$ 28.68
CÓD. 0007,,7897175050007,5206.32.00,COLEIRA NYLON 30MM C/EVA Nº7,,,7,UNITÁRIO,71gm,R$ 4.02,R$ 24.90,R$ 14.43,R$ 10.41,R$ 1.49,259%,R$ 29.88
CÓD. 0008,,7897175420008,5206.32.00,COLEIRA NYLON 30MM C/EVA Nº8,,,8,UNITÁRIO,74gm,R$ 4.14,R$ 25.90,R$ 15.17,R$ 11.03,R$ 1.55,266%,R$ 31.08
-4,,,,,,,,,,,,,,,,
CÓD. 0014,,7897175430014,5206.32.00,COLEIRA NYLON 50MM FIV. DUPLA Nº7,,,7,UNITÁRIO,142gm,R$ 6.71,R$ 39.00,R$ 24.86,R$ 18.15,R$ 2.34,270%,R$ 42.90
CÓD. 0015,,7897175420015,5206.32.00,COLEIRA NYLON 50MM FIV. DUPLA Nº8,,,8,UNITÁRIO,147gm,R$ 6.81,R$ 40.00,R$ 25.60,R$ 18.79,R$ 2.40,276%,R$ 44.00
-4,,,,,,,,,,,,,,,,
